trial_number,stability_score,overall_sharpe,fold_sharpes,confidence_threshold,params
66,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.407241450114657,"{""num_features"": 130, ""model"": ""rf"", ""rf_n_estimators"": 353, ""max_depth"": 64, ""min_samples_leaf"": 10, ""criterion"": ""entropy"", ""confidence_threshold"": 0.407241450114657}"
67,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3000385544807336,"{""num_features"": 131, ""model"": ""rf"", ""rf_n_estimators"": 346, ""max_depth"": 97, ""min_samples_leaf"": 10, ""criterion"": ""entropy"", ""confidence_threshold"": 0.3000385544807336}"
70,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.30428662982225146,"{""num_features"": 80, ""model"": ""rf"", ""rf_n_estimators"": 286, ""max_depth"": 28, ""min_samples_leaf"": 13, ""criterion"": ""gini"", ""confidence_threshold"": 0.30428662982225146}"
68,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.30258928322987116,"{""num_features"": 128, ""model"": ""rf"", ""rf_n_estimators"": 366, ""max_depth"": 97, ""min_samples_leaf"": 12, ""criterion"": ""entropy"", ""confidence_threshold"": 0.30258928322987116}"
69,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5332098158889188,"{""num_features"": 150, ""model"": ""rf"", ""rf_n_estimators"": 397, ""max_depth"": 100, ""min_samples_leaf"": 13, ""criterion"": ""gini"", ""confidence_threshold"": 0.5332098158889188}"
71,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.38101979878399955,"{""num_features"": 149, ""model"": ""rf"", ""rf_n_estimators"": 317, ""max_depth"": 27, ""min_samples_leaf"": 13, ""criterion"": ""gini"", ""confidence_threshold"": 0.38101979878399955}"
73,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.42956277968663803,"{""num_features"": 150, ""model"": ""rf"", ""rf_n_estimators"": 314, ""max_depth"": 89, ""min_samples_leaf"": 7, ""criterion"": ""gini"", ""confidence_threshold"": 0.42956277968663803}"
72,-3.4150199611566205,-2.5414188443987644,"[0.0, 0.0, 0.0, -5.6917, 0.0]",0.42945034035069124,"{""num_features"": 149, ""model"": ""rf"", ""rf_n_estimators"": 318, ""max_depth"": 49, ""min_samples_leaf"": 5, ""criterion"": ""gini"", ""confidence_threshold"": 0.42945034035069124}"
74,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.38350318115210635,"{""num_features"": 134, ""model"": ""rf"", ""rf_n_estimators"": 400, ""max_depth"": 58, ""min_samples_leaf"": 7, ""criterion"": ""entropy"", ""confidence_threshold"": 0.38350318115210635}"
75,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3809647719061802,"{""num_features"": 135, ""model"": ""rf"", ""rf_n_estimators"": 398, ""max_depth"": 89, ""min_samples_leaf"": 7, ""criterion"": ""entropy"", ""confidence_threshold"": 0.3809647719061802}"
77,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.40087725450301626,"{""num_features"": 135, ""model"": ""rf"", ""rf_n_estimators"": 369, ""max_depth"": 58, ""min_samples_leaf"": 7, ""criterion"": ""entropy"", ""confidence_threshold"": 0.40087725450301626}"
76,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4011636396581396,"{""num_features"": 136, ""model"": ""rf"", ""rf_n_estimators"": 400, ""max_depth"": 84, ""min_samples_leaf"": 5, ""criterion"": ""entropy"", ""confidence_threshold"": 0.4011636396581396}"
79,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3370956618826692,"{""num_features"": 140, ""model"": ""lgb"", ""lgb_n_estimators"": 54, ""learning_rate"": 0.011452880018919559, ""num_leaves"": 93, ""confidence_threshold"": 0.3370956618826692}"
78,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3989096819476913,"{""num_features"": 141, ""model"": ""rf"", ""rf_n_estimators"": 369, ""max_depth"": 42, ""min_samples_leaf"": 9, ""criterion"": ""entropy"", ""confidence_threshold"": 0.3989096819476913}"
80,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.45121355699345106,"{""num_features"": 141, ""model"": ""lgb"", ""lgb_n_estimators"": 52, ""learning_rate"": 0.019503694554898268, ""num_leaves"": 92, ""confidence_threshold"": 0.45121355699345106}"
82,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4183648222502119,"{""num_features"": 103, ""model"": ""rf"", ""rf_n_estimators"": 232, ""max_depth"": 69, ""min_samples_leaf"": 19, ""criterion"": ""entropy"", ""confidence_threshold"": 0.4183648222502119}"
84,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3740832998092987,"{""num_features"": 89, ""model"": ""rf"", ""rf_n_estimators"": 259, ""max_depth"": 66, ""min_samples_leaf"": 15, ""criterion"": ""entropy"", ""confidence_threshold"": 0.3740832998092987}"
83,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.3734175907797468,"{""num_features"": 123, ""model"": ""rf"", ""rf_n_estimators"": 338, ""max_depth"": 75, ""min_samples_leaf"": 19, ""criterion"": ""entropy"", ""confidence_threshold"": 0.3734175907797468}"
87,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.32743759208844514,"{""num_features"": 107, ""model"": ""rf"", ""rf_n_estimators"": 65, ""max_depth"": 82, ""min_samples_leaf"": 9, ""criterion"": ""entropy"", ""confidence_threshold"": 0.32743759208844514}"
85,-1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.37444848884355975,"{""num_features"": 111, ""model"": ""rf"", ""rf_n_estimators"": 266, ""max_depth"": 75, ""min_samples_leaf"": 16, ""criterion"": ""entropy"", ""confidence_threshold"": 0.37444848884355975}"
